,Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire,Unnamed: 7
0,1,SC Ganguly,8-Jul-72,Left_Hand,Right-arm medium,India,0,NaN
1,2,BB McCullum,27-Sep-81,Right_Hand,Right-arm medium,New Zealand,0,NaN
2,3,RT Ponting,19-Dec-74,Right_Hand,Right-arm medium,Australia,0,NaN
3,4,DJ Hussey,15-Jul-77,Right_Hand,Right-arm offbreak,Australia,0,NaN
4,5,Mohammad Hafeez,17-Oct-80,Right_Hand,Right-arm offbreak,Pakistan,0,NaN
5,6,Subroto Das,NaN,NaN,NaN,India,1,NaN
6,7,K Srinivasan,NaN,NaN,NaN,India,1,NaN
7,8,VK Sharma,NaN,NaN,NaN,India,1,NaN
8,9,AV Wankhade,14-Mar-92,Right_Hand,NaN,India,0,NaN
9,10,B Aparajith,8-Jul-94,Right_Hand,Right-arm offbreak,India,0,NaN
